regime,p,lam,n_blocks,n_groups,s_max,cubic_gain,f_max,t_numpy,t_torch,t_torch_h2d,t_torch_compute,t_torch_d2h,max_conv_spread,ratio_torch_over_numpy,peak_gpu_mem_mb,cpu_baseline_label,max_diff,t_ref
many_tiny,1200,0.03,1,1,1200,1.0,1.0,2.7009849539999777,2.272982480999417,0.0014414010001928546,2.2491851180002413,0.0013796610001008958,0.0,1.188299943610815,196.82080078125,CPU-best (batched numpy),1.84297022087776e-14,2.971579806000591
many_tiny,1200,0.051764705882352935,16,3,1177,1.0597765568579434,0.9999999049390241,2.5193311870007165,2.300019708999571,0.0017596010002307594,2.2808219750004355,0.001287049998609291,4.0,1.0953519994385346,190.9833984375,CPU-best (batched numpy),1.8790524691780774e-14,nan
many_tiny,1200,0.07352941176470587,42,5,1132,1.1912538686951757,0.9999996925351705,2.596670277999692,2.1545614760007084,0.001735853999889514,2.1334082570001556,0.0013642239991895622,11.0,1.2051966522763717,178.67822265625,CPU-best (batched numpy),1.84297022087776e-14,nan
many_tiny,1200,0.09529411764705882,83,7,1035,1.5585538451617666,0.999997978750482,2.033951540999624,1.9795724300001893,0.0019851910010402207,1.9609956860003876,0.0012253089998921496,8.0,1.0274701294963122,154.6171875,CPU-best (batched numpy),1.354472090042691e-14,nan
many_tiny,1200,0.11705882352941176,126,8,907,2.3158951973471997,0.9999931501502584,1.666283855999609,1.7070977559997118,0.0019341369970788946,1.6866165649998948,0.0009724109995659092,16.0,0.976091644513819,126.16845703125,CPU-best (batched numpy),1.4210854715202004e-14,1.9672609809995265
many_tiny,1200,0.13882352941176468,164,9,792,3.4782544843637484,0.9999842512366403,1.354330975999801,1.5164742219994878,0.0016729280005165492,1.4965641310000137,0.0010650209987943526,16.0,0.8930787984078628,103.8056640625,CPU-best (batched numpy),1.2101430968414206e-14,nan
many_tiny,1200,0.16058823529411764,201,11,686,5.352487109333953,0.999963709641798,1.1077683530002105,1.3979207760003192,0.0017619740010559326,1.3837002919981387,0.0007836290005798219,17.0,0.7924400094901785,86.09521484375,CPU-best (batched numpy),1.199040866595169e-14,nan
many_tiny,1200,0.18235294117647058,247,13,516,12.575419770131806,0.9998338996638695,0.7752512890001526,1.3273574229997394,0.0017026100022121682,1.3093090370020946,0.0007396949986286927,23.0,0.5840561672139041,64.3046875,CPU-best (batched numpy),1.965094753586527e-14,nan
many_tiny,1200,0.20411764705882351,280,14,375,32.7465671534876,0.9993459214321165,0.5608875110001463,1.1190251870002612,0.001719230997878185,1.0994107409987919,0.0005829730016557733,38.0,0.5012286743104518,49.78857421875,CPU-best (batched numpy),1.199040866595169e-14,0.7701742839999497
many_tiny,1200,0.22588235294117645,308,14,277,81.1586296139949,0.9982292107567498,0.39356159799990564,1.00435073799963,0.001630183998713619,0.9858167440006582,0.0005081699973743525,29.0,0.3918567320254716,41.75146484375,CPU-best (batched numpy),3.097522238704187e-14,nan
many_tiny,1200,0.2476470588235294,339,14,198,221.35235528897627,0.9943424490024925,0.28822896299971035,0.9288742999997339,0.0016942980009844177,0.9095697500024471,0.0005129200008013868,55.0,0.31029921163691676,38.0224609375,CPU-best (batched numpy),1.2573275753879898e-14,nan
many_tiny,1200,0.26941176470588235,372,14,118,1019.2200842979945,0.9691037115418417,0.19130727099945943,0.9634631440003432,0.0016100000002552406,0.9470461339988105,0.0005010479999327799,56.0,0.1985621060761524,34.591796875,CPU-best (batched numpy),2.142730437526552e-14,nan
many_tiny,1200,0.29117647058823526,406,15,79,3167.167035069777,0.9036671688679211,0.138792339000247,0.9406619299998056,0.0016943010004979442,0.9175924040000609,0.00046305200157803483,57.0,0.14754752432712537,33.599609375,CPU-best (batched numpy),1.0658141036401503e-14,0.20687295999960043
many_tiny,1200,0.31294117647058817,435,14,79,3198.93368877041,0.9127309415380058,0.1407787139996799,0.9382766039998387,0.0015921900003377232,0.9234102299997176,0.0004476200001590769,60.0,0.15003967209620853,33.59765625,CPU-best (batched numpy),1.0547118733938987e-14,nan
many_tiny,1200,0.3347058823529412,468,14,47,11519.078473722102,0.6920979654960936,0.1059642710006301,0.7350154420000763,0.0015898120000201743,0.71547936600291,0.00045830499766452704,60.0,0.14416604733131458,33.0087890625,CPU-best (batched numpy),1.3211653993039363e-14,nan
many_tiny,1200,0.3564705882352941,504,14,34,21114.369501466277,0.4802541544477028,0.09340248099942983,0.7293187000004764,0.0015791279993209173,0.7069211919988447,0.0004333689985287492,61.0,0.12806812851414454,32.83056640625,CPU-best (batched numpy),6.183942247162122e-14,nan
many_tiny,1200,0.378235294117647,531,14,34,21732.56866888017,0.49431532347318646,0.11866259799990075,0.7328592619996925,0.0015340079980887822,0.7125217489983697,0.0004286209978090483,61.0,0.1619173068456772,32.83056640625,CPU-best (batched numpy),9.658940314238862e-15,0.1952194559999043
many_tiny,1200,0.4,567,13,24,34955.69850710037,0.279645588056803,0.07165918600003351,0.6016313089994583,0.0014877040011924691,0.5809019790003731,0.000404872999752115,59.0,0.11910813969972105,32.7646484375,CPU-best (batched numpy),1.4654943925052066e-14,nan
many_tiny,2000,0.03,1,1,2000,1.0,1.0,8.265339176000452,5.43952789100058,0.004435806999936176,5.377293469000506,0.005486580000251706,0.0,1.5194956881598185,489.80224609375,CPU-best (batched numpy),2.7602919949742954e-14,7.330424208000295
many_tiny,2000,0.051764705882352935,26,3,1960,1.0624824422286228,0.999999974766042,8.030365438000445,5.5230199369998445,0.004697015000601823,5.477469734999431,0.003489515999717696,16.0,1.4539808890066426,471.67431640625,CPU-best (batched numpy),4.7406523151494184e-14,nan
many_tiny,2000,0.07352941176470587,95,5,1827,1.311820022375314,0.9999997935523239,7.3904628629998115,5.295820840000488,0.004222088000460644,5.246400018000713,0.003210497000509349,16.0,1.3955273575680727,414.03857421875,CPU-best (batched numpy),4.75175454539567e-14,nan
many_tiny,2000,0.09529411764705882,206,9,1522,2.269054951682381,0.9999976606043448,5.0803789310002685,3.753602906999731,0.0032936099987637135,3.6989223349992244,0.0023176349995992496,16.0,1.3534673370820236,297.1396484375,CPU-best (batched numpy),1.379452108096757e-14,nan
many_tiny,2000,0.11705882352941176,314,13,1147,5.301419459699076,0.9999825801983329,2.0782672380000804,2.3551630680003655,0.0027664440021908376,2.3056093170007443,0.001903264000247873,19.0,0.8824302937820007,183.53955078125,CPU-best (batched numpy),4.3076653355456074e-14,2.3830934150000758
many_tiny,2000,0.13882352941176468,391,15,786,16.472954536453386,0.9998829225938708,1.1272702679998474,1.7025844059999145,0.0022274009988905163,1.6571316459994705,0.0010935179998341482,29.0,0.6620936172252855,102.7333984375,CPU-best (batched numpy),1.199040866595169e-14,nan
many_tiny,2000,0.16058823529411764,454,15,516,58.197381219690534,0.9994534247449299,0.6317994109995198,1.3563482110002951,0.0019911240015062504,1.3075175509993642,0.0007729450016995543,42.0,0.465809152749627,64.3056640625,CPU-best (batched numpy),2.220446049250313e-14,nan
many_tiny,2000,0.18235294117647058,500,17,323,236.70290371144827,0.9970597061179594,0.41735864200018113,1.2140664380003727,0.0020872969998890767,1.1651657269967473,0.000648274000013771,63.0,0.34376919494421687,44.765625,CPU-best (batched numpy),3.0309088572266774e-14,nan
many_tiny,2000,0.20411764705882351,549,17,162,1833.8613325753374,0.9745891004451699,0.2617789639998591,1.05371138099963,0.0022274029988693655,1.009945804000381,0.0005627880009342334,52.0,0.24843516803578214,37.0361328125,CPU-best (batched numpy),1.6653345369377348e-14,0.44332518899955176
many_tiny,2000,0.22588235294117645,582,17,132,3325.018017441382,0.9559293799423275,0.2278835249999247,1.0543822030003867,0.0022380870004781173,1.0089567589984654,0.0005402290016718325,50.0,0.21612990465075324,35.021484375,CPU-best (batched numpy),1.84297022087776e-14,nan
many_tiny,2000,0.2476470588235294,625,17,94,8595.14503232849,0.8923737426914408,0.19778867900004116,1.0561774159996276,0.001982815997507714,1.0129413789973114,0.0005426029993031989,50.0,0.1872684229030238,33.9462890625,CPU-best (batched numpy),1.1324274851176597e-14,nan
