F_max,blas_threads,ceiling,cubic_gain,headroom,lambda,max_block,max_frac_of_p,n_blocks,n_over_p,oracle_F_max,p,regime,rtol,seed,support_f1,tol,true_n_blocks
0.9999455928385667,8,1.8136707244526342,1.813572047776742,5.440716143334523e-05,0.22,82,0.82,17,2,0.2,100,balanced,1e-05,1,0.6,1e-07,5
0.9998072435310928,8,2.5705817483554703,2.57008625209462,0.00019275646890715148,0.24,73,0.73,22,2,0.2,100,balanced,1e-05,1,0.6631016042780747,1e-07,5
0.9991583638203472,8,4.869046981434324,4.864949015334319,0.0008416361796528271,0.26,59,0.59,28,2,0.2,100,balanced,1e-05,1,0.6971428571428572,1e-07,5
0.9950704389879214,8,11.739293764087153,11.681424199238371,0.004929561012078643,0.28,44,0.44,34,2,0.2,100,balanced,1e-05,1,0.7151515151515152,1e-07,5
0.9462636765732909,8,41.00209110664644,38.798789477768295,0.05373632342670909,0.30000000000000004,29,0.29,40,2,0.2,100,balanced,1e-05,1,0.7088607594936708,1e-07,5
0.9653657378087397,8,41.00209110664644,39.582013932868904,0.03463426219126031,0.32,29,0.29,44,2,0.2,100,balanced,1e-05,1,0.6797385620915034,1e-07,5
0.9727584556477346,8,41.00209110664644,39.8851308232291,0.027241544352265445,0.34,29,0.29,47,2,0.2,100,balanced,1e-05,1,0.6577181208053692,1e-07,5
0.8862200956937799,8,107.9796998164345,95.69377990430623,0.11377990430622009,0.36000000000000004,21,0.21,49,2,0.2,100,balanced,1e-05,1,0.653061224489796,1e-07,5
0.8655981827359919,8,145.79384749963552,126.19888944977284,0.13440181726400813,0.38,19,0.19,52,2,0.2,100,balanced,1e-05,1,0.6388888888888888,1e-07,5
0.8631412508784259,8,203.5416242621616,175.68517217146874,0.13685874912157414,0.4,17,0.17,55,2,0.2,100,balanced,1e-05,1,0.6099290780141844,1e-07,5
0.8349826818406729,8,296.2962962962963,247.40227610094013,0.16501731815932708,0.42000000000000004,15,0.15,60,2,0.2,100,balanced,1e-05,1,0.5588235294117647,1e-07,5
0.8374689826302729,8,296.2962962962963,248.13895781637717,0.16253101736972708,0.44,15,0.15,62,2,0.2,100,balanced,1e-05,1,0.5373134328358209,1e-07,5
0.8501259445843828,8,296.2962962962963,251.88916876574308,0.14987405541561716,0.46,15,0.15,63,2,0.2,100,balanced,1e-05,1,0.5303030303030303,1e-07,5
0.8245192307692307,8,364.4314868804665,300.4807692307692,0.17548076923076927,0.48000000000000004,14,0.14,66,2,0.2,100,balanced,1e-05,1,0.49612403100775193,1e-07,5
0.8000728332119447,8,455.1661356395084,364.1660597232338,0.19992716678805533,0.5,13,0.13,68,2,0.2,100,balanced,1e-05,1,0.4724409448818897,1e-07,5
1.0,8,1.0,1.0,0.0,0.02,100,1.0,1,2,0.2,100,balanced,1e-05,2,0.04920248715869154,1e-07,5
1.0,8,1.0,1.0,0.0,0.04,100,1.0,1,2,0.2,100,balanced,1e-05,2,0.06315789473684211,1e-07,5
1.0,8,1.0,1.0,0.0,0.06,100,1.0,1,2,0.2,100,balanced,1e-05,2,0.08047105004906772,1e-07,5
1.0,8,1.0,1.0,0.0,0.08,100,1.0,1,2,0.2,100,balanced,1e-05,2,0.10955243820975286,1e-07,5
1.0,8,1.0,1.0,0.0,0.1,100,1.0,1,2,0.2,100,balanced,1e-05,2,0.14602587800369685,1e-07,5
1.0,8,1.0,1.0,0.0,0.12000000000000001,100,1.0,1,2,0.2,100,balanced,1e-05,2,0.18476903870162298,1e-07,5
