machine,cpu,gpu,gglasso,numpy,logical_cores,blas_threads,regime,p,n_samples,lambda,seed,true_sparsity,true_n_blocks,true_sizes_json,gen_style_requested,gen_n_powerlaw,gen_n_erdos,gen_n_direct,detected_n_blocks,detected_singletons,detected_sizes_json,t_admm_median,t_admm_mean,t_admm_min,t_admm_max,t_admm_std,t_admm_trials_json,t_block_median,t_block_mean,t_block_min,t_block_max,t_block_std,t_block_trials_json,algorithmic_speedup,speedup_lo,speedup_hi,admm_iterations,admm_status,block_iterations,admm_peak_mem_mb,block_peak_mem_mb,obj_admm,obj_block,obj_rel_gap,max_abs_error,max_rel_error,support_agreement,support_precision,support_recall,support_f1,trials,warmup,tol,rtol,max_iter,true_block_min,true_block_max,true_block_mean,true_block_std,true_block_median,detected_block_min,detected_block_max,detected_block_mean,detected_block_std,detected_block_median
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,200,0.05,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.03360989992506802,0.034946155553269714,0.03292290004901588,0.04072269983589649,0.0027987639181491974,"[0.032997, 0.033002, 0.033259, 0.03361, 0.032923, 0.034841, 0.038535, 0.034625, 0.040723]",0.04106259997934103,0.040913966613718204,0.034835599828511477,0.045641500037163496,0.0035617726042141105,"[0.034836, 0.038293, 0.037609, 0.045642, 0.041063, 0.043059, 0.04067, 0.041785, 0.045269]",0.8185039413475393,0.72133694164759,1.1689966596345693,26,optimal,nan,0.9413604736328125,1.4787940979003906,101.51049032239118,101.51049032239118,0.0,0.0,0.0,1.0,0.03682842287694974,0.8947368421052632,0.07074490220557636,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,200,0.1,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.07699800003319979,0.07714541111555365,0.06569830002263188,0.08509869989939034,0.006991878423970686,"[0.08215, 0.076366, 0.085099, 0.081214, 0.085079, 0.076998, 0.065698, 0.073343, 0.068361]",0.06540830014273524,0.0667920333540274,0.06437189993448555,0.07162930001504719,0.0025504054028953477,"[0.071629, 0.068003, 0.065408, 0.066907, 0.064372, 0.064735, 0.069849, 0.064821, 0.065404]",1.177190048742641,0.9171986883695725,1.3219852138277643,50,optimal,nan,0.9413604736328125,1.4787940979003906,108.26430731468633,108.26430731468633,0.0,0.0,0.0,1.0,0.07400194741966894,0.8,0.1354723707664884,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,200,0.15,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.09788570017553866,0.09557766671706405,0.08155220001935959,0.10429350007325411,0.008515546501796464,"[0.081552, 0.087475, 0.104294, 0.102025, 0.100301, 0.103628, 0.097637, 0.097886, 0.085402]",0.09273889986798167,0.09291134443547991,0.08190699992701411,0.1037771999835968,0.0064393738814091436,"[0.092739, 0.103777, 0.098142, 0.092504, 0.085572, 0.081907, 0.092256, 0.093126, 0.096178]",1.055497750295547,0.7858392790733404,1.2733160800198788,64,optimal,nan,0.9413604736328125,1.4785795211791992,111.32739649744171,111.32739649744171,0.0,0.0,0.0,1.0,0.16210045662100456,0.7473684210526316,0.2664165103189493,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,200,0.2,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,3,2,"[98, 1, 1]",0.08215190004557371,0.08375558888332711,0.07853619987145066,0.09239399991929531,0.0046057746798401486,"[0.092394, 0.086222, 0.088275, 0.085073, 0.081726, 0.080025, 0.078536, 0.079397, 0.082152]",0.08162180008366704,0.08447373332455754,0.0784750001039356,0.09793530008755624,0.007168829620963729,"[0.078475, 0.085287, 0.094103, 0.097935, 0.081622, 0.085887, 0.078887, 0.079146, 0.078922]",1.0064945879821725,0.8019192242351596,1.1773685861347538,60,optimal,nan,0.9413604736328125,1.430521011352539,113.04812946653135,113.04812946055739,5.284438701787851e-11,1.137911507784195e-06,9.762162957062321e-07,1.0,0.3417085427135678,0.7157894736842105,0.46258503401360546,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,98.0,33.333333333333336,45.726238516730064,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,200,0.25,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,20,13,"[74, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.06796570005826652,0.06801655560007526,0.06526799988932908,0.0701689999550581,0.0017041503315620241,"[0.069934, 0.065268, 0.069169, 0.06885, 0.066055, 0.070169, 0.067966, 0.067943, 0.066796]",0.05021360004320741,0.05036432223601474,0.0476966998539865,0.05319670005701482,0.001786252034098107,"[0.047697, 0.050214, 0.051706, 0.048955, 0.049118, 0.050378, 0.052456, 0.049558, 0.053197]",1.3535317125197939,1.2269182076966532,1.471149999263384,52,optimal,nan,0.9413604736328125,0.9282016754150391,114.22067998545744,114.22067974338495,2.119340283279793e-09,7.218186628446532e-05,6.192765015270536e-05,1.0,0.6161616161616161,0.6421052631578947,0.6288659793814433,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,74.0,5.0,15.839823231336895,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,200,0.3,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,36,22,"[44, 6, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.07500740000978112,0.07456254441705015,0.07135069998912513,0.07882639998570085,0.00244912680375481,"[0.076126, 0.071351, 0.07504, 0.072743, 0.072645, 0.076855, 0.078826, 0.075007, 0.07247]",0.03914369991980493,0.04101096665383213,0.03247800003737211,0.05089589999988675,0.0078123141408107145,"[0.033568, 0.034324, 0.033826, 0.032478, 0.039144, 0.050896, 0.048201, 0.046978, 0.049684]",1.916206188057118,1.401894847900988,2.4270706291950273,56,optimal,nan,0.9413604736328125,0.7321233749389648,115.11969910188124,115.11969875685924,2.9970717850312135e-09,0.0001493914108147143,0.00012816874240323625,1.0,0.7605633802816901,0.5684210526315789,0.6506024096385542,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,44.0,2.7777777777777777,7.043953715820206,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,200,0.35,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,47,28,"[22, 8, 5, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.08526129997335374,0.08568537775944504,0.0780191000085324,0.09383439994417131,0.005258907196661902,"[0.086402, 0.080556, 0.078019, 0.08887, 0.084509, 0.093834, 0.092092, 0.085261, 0.081624]",0.02616850007325411,0.02721561108612352,0.024670799961313605,0.03200489981099963,0.0025990706742134535,"[0.026125, 0.025143, 0.024671, 0.030969, 0.026488, 0.027882, 0.025489, 0.032005, 0.026169]",3.2581653413332727,2.437723613236194,3.8034599644646083,56,optimal,nan,0.9413604736328125,0.7074470520019531,115.8257985403681,115.8257984251086,9.951107406296694e-10,8.900453017421373e-05,7.636047238910203e-05,1.0,0.9074074074074074,0.5157894736842106,0.6577181208053692,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,22.0,2.127659574468085,3.1931910357029114,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,200,0.4,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,57,37,"[12, 8, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.07236979994922876,0.07570315558566815,0.07008980005048215,0.08899770001880825,0.006593571923606186,"[0.07237, 0.075491, 0.070291, 0.07009, 0.071132, 0.079909, 0.081963, 0.088998, 0.071085]",0.02162700006738305,0.02189865553130706,0.021417199866846204,0.022707500029355288,0.0005080664858647507,"[0.022229, 0.022708, 0.022067, 0.021627, 0.021417, 0.021476, 0.021555, 0.022574, 0.021435]",3.346270852348769,3.0866365720520994,4.1554311755093885,55,optimal,nan,0.9413604736328125,0.7034330368041992,116.38579484225198,116.3857948424411,1.6249238560963285e-12,4.601512103075134e-06,3.9478174560758005e-06,1.0,0.9545454545454546,0.4421052631578947,0.60431654676259,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,12.0,1.7543859649122806,1.7798156986627924,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,500,0.05,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.040593599900603294,0.04195666665004359,0.038956800010055304,0.047859600046649575,0.003528325918493767,"[0.04786, 0.04656, 0.044636, 0.041881, 0.038957, 0.039012, 0.040594, 0.038985, 0.039126]",0.04233229998499155,0.04248155552583436,0.040473399916663766,0.04582919995300472,0.0016869743276326946,"[0.043573, 0.041204, 0.040473, 0.042332, 0.043121, 0.043294, 0.045829, 0.040709, 0.041797]",0.958927341887762,0.8500432049872859,1.1824951732543911,30,optimal,nan,0.9413604736328125,1.4786224365234375,107.96937909033024,107.96937909033024,0.0,0.0,0.0,1.0,0.052700065061808715,0.8526315789473684,0.09926470588235294,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,1,balanced,100,500,0.1,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,2,1,"[99, 1]",0.07071599992923439,0.07188538891366786,0.06890670000575483,0.08429000014439225,0.0047727738770108954,"[0.068907, 0.070716, 0.070739, 0.08429, 0.071849, 0.068991, 0.07004, 0.069647, 0.07179]",0.08055959991179407,0.08345544444293612,0.0770502001978457,0.09374139993451536,0.0063593145262711235,"[0.078582, 0.079852, 0.083607, 0.090663, 0.093741, 0.089831, 0.08056, 0.07705, 0.077214]",0.8778097210842954,0.7350722312008438,1.0939621172684373,54,optimal,nan,0.9413604736328125,1.45440673828125,110.95601948812377,110.9560194883934,2.4299947650914673e-12,2.2097879125160258e-07,1.9672118089906875e-07,1.0,0.20596205962059622,0.8,0.3275862068965517,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,99.0,50.0,49.0,50.0
