machine,cpu,gpu,gglasso,numpy,logical_cores,blas_threads,regime,p,n_samples,lambda,seed,true_sparsity,true_n_blocks,true_sizes_json,gen_style_requested,gen_n_powerlaw,gen_n_erdos,gen_n_direct,detected_n_blocks,detected_singletons,detected_sizes_json,t_admm_median,t_admm_mean,t_admm_min,t_admm_max,t_admm_std,t_admm_trials_json,t_block_median,t_block_mean,t_block_min,t_block_max,t_block_std,t_block_trials_json,algorithmic_speedup,speedup_lo,speedup_hi,admm_iterations,admm_status,block_iterations,admm_peak_mem_mb,block_peak_mem_mb,obj_admm,obj_block,obj_rel_gap,max_abs_error,max_rel_error,support_agreement,support_precision,support_recall,support_f1,trials,warmup,tol,rtol,max_iter,true_block_min,true_block_max,true_block_mean,true_block_std,true_block_median,detected_block_min,detected_block_max,detected_block_mean,detected_block_std,detected_block_median
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,500,0.15,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,10,7,"[88, 3, 2, 1, 1, 1, 1, 1, 1, 1]",0.030051564000018516,0.030043516333345604,0.029886529999998857,0.03016673100000844,9.529953509111981e-05,"[0.03001, 0.030139, 0.030167, 0.030052, 0.029887, 0.030067, 0.029958, 0.029972, 0.030141]",0.025822426999980053,0.025784697888866503,0.025639585000021725,0.025903162999952656,8.585884051304899e-05,"[0.02564, 0.025695, 0.025822, 0.025903, 0.025822, 0.025864, 0.025755, 0.025726, 0.025834]",1.163777672797438,1.1537791736110945,1.1765686145069383,54,optimal,nan,0.9413604736328125,1.2056522369384766,112.71940876716091,112.7194087204156,4.1470509745519926e-10,1.3436239555894569e-05,1.138051711163947e-05,1.0,0.5555555555555556,0.7368421052631579,0.6334841628959277,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,88.0,10.0,26.007691170113507,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,500,0.2,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,28,11,"[40, 5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.030412501000000702,0.030423450666653987,0.03027833599992391,0.030620277000025453,0.00011321673481136996,"[0.030278, 0.030341, 0.030545, 0.030413, 0.030347, 0.03062, 0.030454, 0.030488, 0.030323]",0.014709369999991395,0.014773483444451408,0.014669002000005094,0.014942078999979458,0.00011688037768079155,"[0.014934, 0.014669, 0.014677, 0.014709, 0.014695, 0.014675, 0.014764, 0.014942, 0.014896]",2.067559725536749,2.0263803986021984,2.0874137858877395,55,optimal,nan,0.9413604736328125,0.7247629165649414,112.4089996295561,112.40899959955331,2.669074096739308e-10,4.406677905138823e-05,3.5178323805264646e-05,1.0,0.8666666666666667,0.6842105263157895,0.7647058823529413,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,40.0,3.5714285714285716,7.1135111454419295,2.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,500,0.25,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,39,17,"[16, 9, 5, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0287823500000286,0.028808206333362958,0.028683805000014218,0.028973503999964123,9.926121997707908e-05,"[0.028782, 0.028974, 0.028927, 0.028748, 0.028684, 0.028889, 0.028712, 0.028773, 0.028785]",0.010557406999964769,0.010569412111105217,0.010487356999988151,0.01061558399999285,4.055269457809956e-05,"[0.010616, 0.010597, 0.01061, 0.0106, 0.010553, 0.010557, 0.010554, 0.010487, 0.010551]",2.7262707594890156,2.7020468209788118,2.762707896755766,52,optimal,nan,0.9413604736328125,0.7027482986450195,114.5278469670087,114.52784696746535,3.987253908211912e-12,7.213583902349052e-06,5.447137083726062e-06,1.0,0.9836065573770492,0.631578947368421,0.7692307692307693,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,16.0,2.5641025641025643,2.677492816862894,2.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,500,0.3,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,45,25,"[18, 9, 5, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.02916584700005842,0.0291852400000102,0.029053054000087286,0.02932731999999305,8.802017022660244e-05,"[0.029134, 0.029327, 0.029289, 0.029249, 0.029053, 0.029188, 0.029166, 0.029117, 0.029143]",0.00986402800003816,0.009869437111117603,0.009803477000104976,0.00997919600001751,4.972510436859807e-05,"[0.009888, 0.009855, 0.009849, 0.009803, 0.009864, 0.009864, 0.009828, 0.009895, 0.009979]",2.956788747958297,2.9113621979201842,2.991522293537182,53,optimal,nan,0.9413604736328125,0.7043981552124023,116.41693525066056,116.41693489096093,3.089753443124315e-09,0.00020222958037277583,0.00015978071143925315,0.9998,0.9454545454545454,0.5473684210526316,0.6933333333333334,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,18.0,2.2222222222222223,2.7799991118215117,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,500,0.35,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,52,30,"[11, 8, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.029641953999998805,0.029632060000027296,0.029453175000071496,0.029714377999994213,8.36744079981773e-05,"[0.029635, 0.029604, 0.029714, 0.02971, 0.029697, 0.029642, 0.02967, 0.029453, 0.029564]",0.009628945999907046,0.009622612999957406,0.009580266999932974,0.009655065999936596,2.6884812180907454e-05,"[0.009604, 0.00958, 0.009633, 0.009647, 0.009652, 0.009592, 0.009655, 0.009629, 0.009612]",3.0784214596576778,3.0505410320618123,3.1016231593756314,54,optimal,nan,0.9413604736328125,0.7029218673706055,116.04084717775113,116.04084717797207,1.903951613855559e-12,6.163236957928975e-06,5.272752907674043e-06,1.0,1.0,0.5052631578947369,0.6713286713286714,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,11.0,1.9230769230769231,1.7633682132842539,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,500,0.4,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,59,41,"[18, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.025086312999974325,0.025088819444439043,0.025016262000008282,0.025142115999983616,3.448515619626369e-05,"[0.025016, 0.025086, 0.025083, 0.025078, 0.025098, 0.025092, 0.025082, 0.025122, 0.025142]",0.008593626999982007,0.00859230755554563,0.008561569999983476,0.008622121999906085,2.0594120456400188e-05,"[0.008619, 0.008594, 0.008622, 0.008587, 0.008592, 0.008564, 0.008562, 0.008595, 0.008597]",2.9191763850149477,2.9014043179023408,2.93662447425322,46,optimal,nan,0.9413604736328125,0.7058048248291016,115.67262854959674,115.67262843921004,9.543026293064527e-10,9.433777746681304e-05,8.648312352180965e-05,1.0,0.975609756097561,0.42105263157894735,0.5882352941176471,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,18.0,1.694915254237288,2.2568482394412355,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,1000,0.05,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.021968480999930762,0.021961489777759705,0.02186281299998427,0.022065838999992593,6.689073587895227e-05,"[0.022066, 0.021989, 0.022041, 0.021968, 0.02198, 0.021932, 0.021863, 0.021929, 0.021885]",0.022747346999949514,0.022796026555536426,0.022574003000045195,0.023134404999950675,0.0001857203531952359,"[0.023134, 0.023043, 0.022747, 0.02264, 0.022695, 0.022794, 0.022688, 0.022574, 0.022848]",0.9657601389726688,0.9450345924189918,0.977488972600403,39,optimal,nan,0.9413604736328125,1.4788637161254883,108.08477725615322,108.08477725615322,0.0,0.0,0.0,1.0,0.09484777517564402,0.8526315789473684,0.17070600632244468,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,1000,0.1,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,9,7,"[91, 2, 1, 1, 1, 1, 1, 1, 1]",0.031500071999971624,0.031472236444452996,0.03134216099999776,0.03165679500000351,9.789443363611564e-05,"[0.031501, 0.031418, 0.031657, 0.031538, 0.031342, 0.0315, 0.031419, 0.031361, 0.031513]",0.027789782000013474,0.027749809333360846,0.027546386000040002,0.027976188000025104,0.00015042934971177808,"[0.027879, 0.027861, 0.027546, 0.02779, 0.027823, 0.027681, 0.027612, 0.027581, 0.027976]",1.1335127421998614,1.1203156412864266,1.1492177231509622,57,optimal,nan,0.9413604736328125,1.269744873046875,110.87279996796629,110.87279983568035,1.1931324306486288e-09,4.6128902568366714e-05,3.885580291279308e-05,1.0,0.549618320610687,0.7578947368421053,0.6371681415929203,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,91.0,11.11111111111111,28.246708537631008,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,1000,0.15,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,26,9,"[39, 8, 5, 5, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.030330590999938067,0.03025842933333125,0.029852111000082004,0.030524119000006067,0.00022699356283430527,"[0.029852, 0.030086, 0.030183, 0.030056, 0.030524, 0.03037, 0.030461, 0.030462, 0.030331]",0.014741431000061311,0.014763594333342352,0.014660695999964446,0.014930210999978044,9.64450071261935e-05,"[0.014741, 0.014915, 0.01493, 0.014773, 0.014745, 0.014706, 0.014679, 0.014661, 0.014722]",2.057506560917452,1.9994433434414225,2.082037510366499,54,optimal,nan,0.9413604736328125,0.7235946655273438,112.10082519803687,112.10082513778194,5.375066006937249e-10,7.089893553556548e-05,5.9111778724626724e-05,1.0,0.8947368421052632,0.7157894736842105,0.7953216374269005,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,39.0,3.8461538461538463,7.214794136901609,2.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,1000,0.2,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,33,12,"[16, 10, 6, 5, 5, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.027717359999996916,0.027649288555570212,0.027166456000031758,0.028091357999983302,0.0004164835719035935,"[0.027166, 0.027174, 0.027228, 0.027348, 0.027717, 0.028014, 0.028018, 0.028091, 0.028087]",0.011197361999961686,0.01119274511110133,0.011105939999993097,0.011300656999992498,5.5494116906817615e-05,"[0.011208, 0.011106, 0.011197, 0.011301, 0.011223, 0.011221, 0.011168, 0.011153, 0.011157]",2.475347318421228,2.4039713797215323,2.5293994024819835,49,optimal,nan,0.9413604736328125,0.7015876770019531,114.64514660032735,114.64514659280933,6.557648131072921e-11,3.57430409087256e-05,3.195899325972976e-05,1.0,0.9705882352941176,0.6947368421052632,0.8098159509202455,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,16.0,3.0303030303030303,2.969387739002145,2.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,1000,0.25,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,41,18,"[13, 9, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.027443096999945737,0.02744692277776216,0.027394417999971665,0.027511959999969804,3.586412028154184e-05,"[0.027481, 0.027394, 0.027435, 0.027454, 0.027463, 0.02741, 0.02743, 0.027512, 0.027443]",0.01032707699994262,0.0103877608888499,0.010298581999904854,0.010593030999984876,0.00011052594452130702,"[0.010308, 0.010316, 0.010299, 0.010593, 0.010538, 0.010443, 0.01035, 0.010315, 0.010327]",2.6573925032318653,2.5860792817476677,2.6714318534555512,50,optimal,nan,0.9413604736328125,0.7022457122802734,114.79278238760807,114.79278238811668,4.430648684337353e-12,9.23592502538595e-06,8.093297260514095e-06,1.0,0.9833333333333333,0.6210526315789474,0.7612903225806452,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,13.0,2.4390243902439024,2.2851458883652116,2.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,1000,0.3,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,44,19,"[11, 10, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.03389603799996621,0.03388244922222031,0.03376899800002775,0.03402782800003479,8.902966433508436e-05,"[0.033786, 0.033806, 0.033933, 0.033955, 0.03383, 0.033896, 0.034028, 0.033769, 0.03394]",0.010278397999968547,0.010284467000006872,0.010233281000068928,0.010360321999996813,3.642826022351074e-05,"[0.010309, 0.010233, 0.010264, 0.010258, 0.010288, 0.010269, 0.0103, 0.01036, 0.010278]",3.2977938780021883,3.259454484140371,3.325211923703218,62,optimal,nan,0.9413604736328125,0.7031154632568359,115.31035905181128,115.31035905214726,2.9137645636898514e-12,8.581255701106683e-06,7.493767840750462e-06,1.0,1.0,0.5894736842105263,0.7417218543046357,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,11.0,2.272727272727273,2.0378647064963538,2.0
